source_file,relative_source_path,file_size_bytes,document_title,num_chunks_generated,total_characters,status,chunking_method,warning_or_error
cleaned_corpus\adsk-3c265848f3a24b789b2d4694f92ee824.md,adsk-3c265848f3a24b789b2d4694f92ee824.md,1765,Look Up Product Keys,13,1734,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3c4046d1e1df46fcb89ab86ca02e5a08.md,adsk-3c4046d1e1df46fcb89ab86ca02e5a08.md,5711,Autodesk Forma now and the future,21,5641,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3c9e82bfd6e940b2b58087f2e7734d0f.md,adsk-3c9e82bfd6e940b2b58087f2e7734d0f.md,1707,Genuine Autodesk | Manage your software,15,1680,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3cad86d717b646759e62a94892af655d.md,adsk-3cad86d717b646759e62a94892af655d.md,4265,3d Environment Modeling Workflow,35,4154,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3cdf294ee7fc4fd393fce3f8ea23ce6c.md,adsk-3cdf294ee7fc4fd393fce3f8ea23ce6c.md,2348,Map 3D Toolset In Autodesk AutoCAD | Features,35,2281,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3d042d9f07ee4dd5aa4755c654f9f920.md,adsk-3d042d9f07ee4dd5aa4755c654f9f920.md,5936,Fusion 360 | Prototyping Software | Autodesk,54,5829,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3d37d5a102de4f6ab983ad1075a9de0a.md,adsk-3d37d5a102de4f6ab983ad1075a9de0a.md,611,Compare Navisworks Manage vs Navisworks Simulate | Autodesk,14,582,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3d4be66bb0c04bdba9d71025bc135cb1.md,adsk-3d4be66bb0c04bdba9d71025bc135cb1.md,309,Fusion 360 Help,7,298,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3d96e5a7da6e486d9022a735785c900a.md,adsk-3d96e5a7da6e486d9022a735785c900a.md,294,Authors,7,283,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3e0a4f34241e41f8a6053a772d7e16db.md,adsk-3e0a4f34241e41f8a6053a772d7e16db.md,316,Autodesk - Account,7,305,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3e157b864ce64822bb98229b6c3518f9.md,adsk-3e157b864ce64822bb98229b6c3518f9.md,370,Troubleshoot Autodesk product download issues,7,359,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3e27371c3c1c4abead212114c77f71d8.md,adsk-3e27371c3c1c4abead212114c77f71d8.md,1436,CCPA Do not sell,10,1413,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3e2c3038732543469e06374d847811d1.md,adsk-3e2c3038732543469e06374d847811d1.md,325,Untitled Autodesk Page,7,314,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3ec5a8c1aa904e1591c46b0baa7626a6.md,adsk-3ec5a8c1aa904e1591c46b0baa7626a6.md,287,News,7,276,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3f28cbae9354412f888167ff25018a93.md,adsk-3f28cbae9354412f888167ff25018a93.md,2522,Construction Closeout & Project Handover | Autodesk Construction Cloud,25,2471,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3f7e75aa6ef747bab1339841016864e1.md,adsk-3f7e75aa6ef747bab1339841016864e1.md,356,System requirements for Autodesk EAGLE,7,345,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3fa8da28b5c843dc8989901b33d2ec05.md,adsk-3fa8da28b5c843dc8989901b33d2ec05.md,4045,Bridges to Prosperity: Designing Trail Bridges With AutoCAD Delivers New Economic Opportunities for Rural Communities in Rwanda | AutoCAD Blog | Autodesk,16,3988,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-3fdd4ef8ee3048f8b2bc00b07922eb99.md,adsk-3fdd4ef8ee3048f8b2bc00b07922eb99.md,19155,Terms of Use | Special Terms | Autodesk,76,18887,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-40f922ed0672400aa2f3e4d5cbb4fd66.md,adsk-40f922ed0672400aa2f3e4d5cbb4fd66.md,1875,Construction Drawings Software | Autodesk Construction Cloud,14,1850,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-410e93e54f8b4e909ba6b5b6585b561b.md,adsk-410e93e54f8b4e909ba6b5b6585b561b.md,2853,Electrical Toolset In Autodesk AutoCAD | Features,30,2790,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-4233560f3a514aad977e6aa55cf2925f.md,adsk-4233560f3a514aad977e6aa55cf2925f.md,10096,Sales Careers | Autodesk,46,9893,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-4271dee64c274e15a7b5d34f66931093.md,adsk-4271dee64c274e15a7b5d34f66931093.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-428b3d72a5694a27a6cf29990e0a83e3.md,adsk-428b3d72a5694a27a6cf29990e0a83e3.md,1249,Home,8,1208,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-42a51bd490f24f1e8fcebe6aed0f9cde.md,adsk-42a51bd490f24f1e8fcebe6aed0f9cde.md,4396,The Ventilator Project - COVID-19 Response,21,4273,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-42dc7b9596d34eb69edfe693feca4a1a.md,adsk-42dc7b9596d34eb69edfe693feca4a1a.md,4549,Autodesk ReCap Pro Software | Get Prices & Buy Official ReCap Pro 2024,37,4475,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-430abb10097c420facb2bd0432f70250.md,adsk-430abb10097c420facb2bd0432f70250.md,3461,Recently Published by Autodesk Researchers,17,3428,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-437743812a474450ac28fcbab40c6f42.md,adsk-437743812a474450ac28fcbab40c6f42.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-43b43dd36cf34b71900c469f2dd305f5.md,adsk-43b43dd36cf34b71900c469f2dd305f5.md,370,System requirements for Autodesk 3ds Max 2024,7,359,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-44077d3c569b44e9b0a681f812939542.md,adsk-44077d3c569b44e9b0a681f812939542.md,946,Visual Effects | Autodesk Media and Entertainment Collection,14,919,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-44238c887d5f44df8c28783f3fbd97a7.md,adsk-44238c887d5f44df8c28783f3fbd97a7.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-4449b0eb4f274c96880a167e9679a314.md,adsk-4449b0eb4f274c96880a167e9679a314.md,366,System requirements for Revit 2024 products,7,355,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-449d2e93b6b64478b71da1f18b4e04c3.md,adsk-449d2e93b6b64478b71da1f18b4e04c3.md,865,Autodesk Developer Programs,8,848,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-44ae863590bb4bb28031de4471902471.md,adsk-44ae863590bb4bb28031de4471902471.md,325,Untitled Autodesk Page,7,314,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-44c2348604074cfeb593756bb1655689.md,adsk-44c2348604074cfeb593756bb1655689.md,4989,"Architecture, Engineering and Construction (AEC) Collection 2024 | Autodesk",44,4851,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-44cdcf0cdb48461ab19f563d526738c4.md,adsk-44cdcf0cdb48461ab19f563d526738c4.md,3146,Autodesk Education | Students and Educators | Renewing Access,19,3094,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-4509519d9ea8428696b41b13a84ae35c.md,adsk-4509519d9ea8428696b41b13a84ae35c.md,2490,AEC Industry Partners | Autodesk,11,2449,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-4556fd0940e34655ace4d3a3747116cf.md,adsk-4556fd0940e34655ace4d3a3747116cf.md,3550,AutoAutoCAD Official Blog,11,3477,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-45770f6f45ed454b9c7c275150da11fc.md,adsk-45770f6f45ed454b9c7c275150da11fc.md,3244,Vehicle Tracking | Swept Path Analysis Software | Autodesk,18,3211,indexed,docling_hierarchical_chunker,
