relative_path,output_path,extraction_method_used,warnings,title,raw_html_chars,raw_visible_chars,raw_tables,raw_table_rows,raw_headings,raw_lists,raw_code_blocks,cleaned_chars,cleaned_lines,cleaned_nonempty_lines,md_tables,md_headings,md_list_lines,md_code_fences,md_links,boilerplate_phrase_hits,punct_only_short_lines,replacement_chars,metadata_or_title_only,cleaned_to_raw_visible_ratio,cleaned_to_raw_html_ratio,quality_flags,flag_count
adsk-6af94a665e8f4f86b398e15dac7e7a62.html,cleaned_corpus\adsk-6af94a665e8f4f86b398e15dac7e7a62.md,trafilatura,,"Autodesk appoints Joe Speicher as its first chief sustainability officer | Autodesk, Inc.",165827,5076,0,0,6,9,0,3655,28,15,0,1,0,0,4,0,1,0,False,0.7201,0.022,heading_loss,1
adsk-533fae4d57f44c2db33e1ca64e057431.html,cleaned_corpus\adsk-533fae4d57f44c2db33e1ca64e057431.md,trafilatura,,Autodesk InfraWorks Software | Get Prices & Buy Official InfraWorks 2024,446388,7217,0,0,32,10,0,4104,63,32,0,1,0,0,6,4,0,0,False,0.5687,0.0092,heading_loss,1
adsk-9103aff40e354f1598836f09378f1053.html,cleaned_corpus\adsk-9103aff40e354f1598836f09378f1053.md,trafilatura,,Autodesk InfraWorks Software | Get Prices & Buy Official InfraWorks 2024,446388,7217,0,0,32,10,0,4104,63,32,0,1,0,0,6,4,0,0,False,0.5687,0.0092,heading_loss,1
adsk-9fb1e2781a61466a994d02a4e60fff8a.html,cleaned_corpus\adsk-9fb1e2781a61466a994d02a4e60fff8a.md,trafilatura,,Autodesk Civil 3D Software | Civil 3D Price,529737,10809,0,0,52,8,0,6685,93,47,0,1,0,0,19,5,0,0,False,0.6185,0.0126,heading_loss,1
adsk-ee58e6bcd56f4d51b9c6f016803284d5.html,cleaned_corpus\adsk-ee58e6bcd56f4d51b9c6f016803284d5.md,trafilatura,,Introducing Autodesk AI for Design and Make | Autodesk News,102595,11008,0,0,7,28,0,8020,47,27,0,1,3,0,13,1,0,0,False,0.7286,0.0782,heading_loss,1
adsk-28b9202ec7364032940e14c965a8eb09.html,cleaned_corpus\adsk-28b9202ec7364032940e14c965a8eb09.md,trafilatura,,PowerMill | New Features and Enhancements | Autodesk,268694,23083,0,0,23,22,0,20367,315,158,0,1,0,0,1,1,0,0,False,0.8823,0.0758,heading_loss,1
adsk-993b247e44744b938c7d984936102ec8.html,cleaned_corpus\adsk-993b247e44744b938c7d984936102ec8.md,trafilatura,,Autodesk Account Basics | Previous Product Versions | Available Versions,165051,21640,2,155,4,7,0,20493,172,164,2,1,0,0,8,1,1,0,False,0.947,0.1242,heading_loss,1
adsk-ddda55e674b0455c9401f32a096fc0d9.html,cleaned_corpus\adsk-ddda55e674b0455c9401f32a096fc0d9.md,trafilatura,,Account Management | Overview | Autodesk Support,105501,1811,0,0,8,3,0,719,21,11,0,2,0,0,0,0,0,0,False,0.397,0.0068,,0
adsk-57adae3957ca44d1ac5fe4c8fb0c4361.html,cleaned_corpus\adsk-57adae3957ca44d1ac5fe4c8fb0c4361.md,trafilatura,,Autodesk Trust Center,71871,2276,0,0,9,4,0,1006,17,9,0,2,0,0,0,1,0,0,False,0.442,0.014,,0
adsk-dc74552ce9434965af54f5905f7b0b5b.html,cleaned_corpus\adsk-dc74552ce9434965af54f5905f7b0b5b.md,trafilatura,,Update Autodesk Serial Number | Individual Installation,125076,3628,0,0,3,23,0,1051,22,16,0,2,8,0,0,0,0,0,False,0.2897,0.0084,,0
